产地,产品,类别,单位,低价,高价,均价,发行时间
nan,后肘（去骨）,肉禽蛋,斤,7.5,8.5,8.0,2023-07-02 00:00:00
nan,猪尾巴,肉禽蛋,斤,42.0,43.0,42.5,2023-07-02 00:00:00
nan,猪蹄,肉禽蛋,斤,19.0,19.0,19.0,2023-07-02 00:00:00
nan,纯排骨,肉禽蛋,斤,17.0,20.0,18.5,2023-07-02 00:00:00
nan,纯腔骨,肉禽蛋,斤,6.0,8.0,7.0,2023-07-02 00:00:00
nan,腔排骨,肉禽蛋,斤,11.5,13.0,12.25,2023-07-02 00:00:00
nan,梅花骨,肉禽蛋,斤,8.0,9.0,8.5,2023-07-02 00:00:00
nan,棒骨,肉禽蛋,斤,7.0,8.0,7.5,2023-07-02 00:00:00
nan,猪头,肉禽蛋,斤,9.0,9.0,9.0,2023-07-02 00:00:00
nan,猪口条,肉禽蛋,斤,15.0,15.0,15.0,2023-07-02 00:00:00
nan,猪耳,肉禽蛋,斤,25.0,25.0,25.0,2023-07-02 00:00:00
nan,猪脑,肉禽蛋,斤,20.0,23.0,21.5,2023-07-02 00:00:00
nan,猪肚,肉禽蛋,斤,21.0,21.0,21.0,2023-07-02 00:00:00
nan,猪板油,肉禽蛋,斤,5.5,6.0,5.75,2023-07-02 00:00:00
nan,肥膘肉,肉禽蛋,斤,3.0,4.0,3.5,2023-07-02 00:00:00
nan,猪腰子,肉禽蛋,斤,20.0,20.0,20.0,2023-07-02 00:00:00
nan,猪心,肉禽蛋,斤,8.0,8.0,8.0,2023-07-02 00:00:00
nan,猪肝,肉禽蛋,斤,4.5,4.5,4.5,2023-07-02 00:00:00
nan,猪肺,肉禽蛋,个,3.0,3.0,3.0,2023-07-02 00:00:00
nan,猪皮,肉禽蛋,斤,2.0,4.0,3.0,2023-07-02 00:00:00
nan,活珠子,肉禽蛋,个,1.2,1.5,1.35,2023-07-02 00:00:00
nan,山鸡蛋,肉禽蛋,个,1.25,1.5,1.38,2023-07-02 00:00:00
nan,鲤鱼,水产,斤,6.5,7.0,6.75,2023-07-02 00:00:00
nan,鲤鱼,水产,斤,7.0,7.0,7.0,2023-07-02 00:00:00
nan,草鱼,水产,斤,6.5,7.0,6.75,2023-07-02 00:00:00
nan,草鱼,水产,斤,7.0,8.0,7.5,2023-07-02 00:00:00
nan,草鱼,水产,斤,8.5,9.0,8.75,2023-07-02 00:00:00
nan,鲫鱼,水产,斤,10.0,10.0,10.0,2023-07-02 00:00:00
